Hotel Name,Location,Original Price,Discounted Price,Discount,User Rating
SPOT ON 79818 M R Plaza,"Patia, Bhubaneswar",3664,1282,65%,4.4
OYO 90893 Santi Residency,"Shree Bidya Enclave Near Indian Bank, Bhubaneswar",2515,399,84%,4.1
OYO 82466 Prince Residency,"Patrapada, Bhubaneswar",2322,813,64%,4.7
OYO 10493 Ms Residency,"Near Patia Big Bazar, Nandan Vihar, Bhubaneswar",2888,809,71%,4.1
Capital O 93025 Patra Residency,"Near DN Regalia Mall, Tamando,  Bhubaneswar ",1898,598,68%,4.9
Collection O 44227 Hotel Sri Govinda,"Near Krupajal Engg college, Uttara, Bhubaneswar",2955,540,81%,4.4
SPOT ON 72473 Royal Blues,"Near DN Regalia Mall, Kalinga Vihar, Bhubaneswar",1341,376,71%,3.4
Capital O 75064 SAYHALLO PRIME RESIDENCY ,"Near Jagannath Temple, Patia, Bhubaneswar",5074,1421,71%,4.4
Flagship 17276 The Maple Tree Hotels,"Near OERC Offices, Sailashree Vihar, Bhubaneswar",3019,846,71%,4.2
Flagship 77372 Navya's,"Near Chandrasekharpur Petrol pump, Niladri Vihar, Bhubaneswar",3519,1232,64%,4.5
OYO 70719 Sri Bidya Residency,"Near Indian Bank, Kalinga Vihar, Bhubaneswar",2494,698,72%,4.1
Collection O 77151 Hotel Royal Crystal,"Kalpana square next to mausi maa mandir. , Bhubaneswar",3260,589,81%,4
OYO 69097 Hotel Vaiko,"Near Royal Enfield Showroom, Sijua, Bhubaneswar",1927,607,68%,4.2
Capital O 11408 Hotel Sai Jagannath,"Near Khandagiri Police Station,Aiginia, Bhubaneswar",3601,1008,72%,4.4
OYO 26622 Ms Plaza,"Near Rto Office, Bansi Vihar, Bhubaneswar",4442,1244,71%,4.3
Collection O 76597 Sayhallo Kanchan,"Patia, Bhubaneswar",5128,1436,72%,4.6
Capital O 703221 Sri Krishna Palace,"Near Sum Hospital, Gothapatana, Khurdha, Odisha",3852,1079,71%,5
OYO 85561 Anasuya Villa,"Khandagiri, Bhubaneswar",3162,996,68%,4.2
OYO 3553 Nayapalli,"Near Reliance Fresh,Indradhanu Market Rd,Bhubaneswar",3954,1107,72%,4.1
Capital O 85573 La Grace Premium,"Near Sum Hospital, Kalinga Nagar, Ghatikia, Bhubaneswar",1869,589,68%,3.6
